px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.747428	0.603077	8.37776	3.79263e-017	1.0452e-017	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	18.0548
1.13514	0.547278	8.41501	-0.456478	-0.0158231	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.831619
1.22279	0.547461	8.42739	-0.0578936	0.000186245	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.66561
1.61795	0.580536	8.40716	0.0589169	0.00233221	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.268098
1.82262	0.555658	6.00935	-0.0640376	-0.105326	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	8.13915
2.14331	0.567578	5.99659	-0.0375638	-0.0785492	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.548665
2.36067	0.626687	5.54525	0.0232975	-0.0931449	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.63222
2.64111	0.640328	5.54382	0.0264924	-0.0741677	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0506271
2.90594	0.643653	5.47614	0.0139107	-0.127536	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.328332
3.14406	0.644795	5.4357	0.0141818	-0.101315	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.974023
3.42809	0.554934	5.46255	-0.101539	-0.434127	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.7715
3.73565	0.456691	5.53307	-0.202399	-0.653045	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.74477
4.01372	0.526345	5.51448	-0.0978899	-0.293055	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.21519
4.2897	0.523291	5.50824	-0.0885732	-0.236705	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.219615
4.54876	0.560258	5.43867	-0.0507278	-0.135327	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.80306
4.73914	0.670355	5.30428	0.0511559	0.0893052	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.6552
4.99179	0.670788	5.24511	0.0417054	0.0591725	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.41855
5.29529	0.666672	5.2982	0.0307504	0.0332694	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.67302
5.55287	0.675392	5.30708	0.0344339	0.0379813	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.47958
5.84825	0.689794	5.34339	0.0384424	0.0413426	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.60162
6.09331	0.618254	5.28293	-0.0155951	-0.0502711	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.49954
6.35012	0.729403	5.27052	0.0556021	0.062522	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.27243
6.60125	0.762238	5.23524	0.0690798	0.077109	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.753413
6.85103	0.759247	5.2228	0.0606377	0.0597085	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.377749
7.09685	0.743979	5.15776	0.0445116	0.0321433	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	3.84913
7.31969	0.826089	5.11979	0.0862016	0.0858407	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.93018
7.60808	0.839661	5.18692	0.0849895	0.0788053	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	3.84582
7.85951	0.816164	5.17718	0.0650423	0.0484165	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.762786
8.11102	0.835091	5.13502	0.0678056	0.0480678	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.70286
8.35009	0.850544	5.11579	0.0696732	0.0475161	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.544788
8.61467	0.939335	5.17017	0.107405	0.0913576	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.32407
8.8523	0.995566	5.15049	0.126261	0.108732	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.780963
9.13871	1.03511	5.19352	0.133469	0.110488	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.56347
9.37636	1.06609	5.17107	0.137843	0.109332	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.765187
9.6527	1.13844	5.21005	0.15916	0.127805	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.34346
9.92355	1.26201	5.23664	0.20252	0.171316	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.94187
10.174	1.35131	5.2026	0.229064	0.194217	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.69616
10.4006	1.43081	5.17632	0.249194	0.20696	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.25346
10.6357	1.51647	5.11768	0.272528	0.22559	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.36169
10.8639	1.54857	5.0892	0.268093	0.207538	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.4562
11.1274	1.60078	5.11379	0.269073	0.195535	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.75268
11.4051	1.64613	5.14341	0.265433	0.179115	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	1.80554
11.638	1.70539	5.10674	0.272621	0.178472	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	1.05839
11.8693	1.76929	5.08938	0.280278	0.177244	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.450895
12.1226	1.85791	5.12426	0.29469	0.182238	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.24753
12.3658	1.88746	5.10809	0.283613	0.158544	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.777441
12.6197	1.94807	5.13529	0.284035	0.148004	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.959389
12.8208	2.07987	5.10558	0.322325	0.18489	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.42583
13.0837	2.18373	5.16954	0.336251	0.186948	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	3.56172
13.2871	2.32323	5.14507	0.373586	0.220287	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.63589
13.4717	2.46784	5.0671	0.416987	0.263954	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	11.0378
13.7196	2.58308	5.0906	0.432786	0.266635	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.789629
13.94	2.69626	5.07418	0.450722	0.2735	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.260478
14.1675	2.84864	5.09326	0.48164	0.293318	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.638434
14.4151	2.95518	5.13766	0.483153	0.272726	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.48622
14.6228	3.03176	5.09515	0.48122	0.255454	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.21995
14.8523	3.18021	5.1364	0.502461	0.261384	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.92656
15.058	3.3711	5.15415	0.545895	0.296321	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.28533
15.27	3.53487	5.14966	0.576198	0.317229	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.55152
15.4819	3.72197	5.1746	0.610804	0.338382	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.800959
15.6943	3.85543	5.16564	0.620789	0.330626	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.918418
15.9149	4.00089	5.17333	0.632396	0.324764	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.20745
16.1117	4.16529	5.14574	0.660002	0.344565	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.80085
16.3087	4.35993	5.16646	0.691659	0.360637	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.473049
16.5186	4.52236	5.17896	0.70449	0.353319	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.638282
16.6973	4.69332	5.1648	0.726589	0.358761	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.473277
16.8518	4.89144	5.10657	0.774167	0.408085	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.86642
17.0169	5.11475	5.1279	0.813619	0.429264	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.631208
17.1864	5.2897	5.10278	0.835011	0.433871	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.82528
17.3472	5.47216	5.0888	0.855962	0.433447	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.242753
17.5025	5.64863	5.05228	0.879037	0.441688	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.44314
17.6976	5.77539	5.01763	0.868798	0.40622	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.95671
17.8391	5.97887	4.9921	0.904733	0.433206	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.36782
18.015	6.1654	4.99957	0.916075	0.421347	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.668411
18.1624	6.37568	5.00577	0.94198	0.427682	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.637584
18.2854	6.60765	5.01809	0.97822	0.444047	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.473766
18.4154	6.82453	5.01385	1.00767	0.455698	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.283895
18.5652	6.96574	4.95223	1.00428	0.428188	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.54218
18.7125	7.17318	4.97041	1.01529	0.410684	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.522733
18.9104	7.31245	4.93663	0.994191	0.365228	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.30525
18.9964	7.52496	4.8893	1.03794	0.406525	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.38891
19.0896	7.7775	4.91631	1.07826	0.428135	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.888652
19.2085	7.98818	4.91386	1.09511	0.421769	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.311296
19.2893	8.20102	4.89054	1.12421	0.431201	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.55868
19.3868	8.41474	4.88662	1.14174	0.421742	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.35753
19.4827	8.56703	4.80521	1.14736	0.406819	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	4.64954
19.5712	8.78129	4.78847	1.17251	0.416804	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.690112
19.7343	8.95233	4.76448	1.15701	0.377655	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.40914
19.8049	9.179	4.7503	1.19221	0.404189	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.0481
19.9374	9.39597	4.7655	1.1948	0.384606	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.77851
19.9801	9.6242	4.73462	1.24154	0.429362	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.89804
20.0699	9.85568	4.74893	1.25862	0.424262	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.542511
20.1291	10.1032	4.77531	1.28451	0.424332	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	6.93398
20.1793	10.3656	4.80953	1.31708	0.435798	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.640121
20.1943	10.6039	4.78859	1.36506	0.476684	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	3.08598
20.2547	10.8683	4.82885	1.38833	0.474982	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.76736
20.2836	11.1221	4.84803	1.41695	0.476995	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.83155
20.3184	11.359	4.84465	1.44018	0.476436	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.00655575
20.2641	11.6092	4.81811	1.51652	0.559017	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	11.0916
20.3362	11.8484	4.82641	1.5206	0.533468	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.58948
20.3612	12.0826	4.8322	1.52715	0.494461	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.5711
20.3501	12.3621	4.87844	1.56242	0.503894	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.07785
20.3	12.6019	4.85748	1.62075	0.559322	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.43975
20.3248	12.8418	4.8558	1.63327	0.543271	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.7525
20.311	13.075	4.84267	1.66095	0.548086	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.12999
20.2752	13.2914	4.81224	1.69131	0.552283	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.12922
20.2357	13.5266	4.81072	1.71864	0.548028	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.29564
20.2163	13.7819	4.83171	1.73916	0.540126	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.21561
20.1595	14.0109	4.81988	1.7763	0.558439	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.917664
20.1055	14.2627	4.84152	1.80475	0.558181	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.311284
20.0333	14.4919	4.83762	1.83684	0.561695	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.40911
19.9267	14.7419	4.86958	1.87909	0.575063	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.26851
19.8594	14.9613	4.85453	1.89727	0.554256	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.38591
19.8265	15.1822	4.83023	1.90796	0.537783	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.11017
19.6934	15.3939	4.82008	1.98202	0.627115	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	8.05963
19.6603	15.5888	4.76505	1.9913	0.606601	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.68009
19.5643	15.7966	4.75356	2.01874	0.601259	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.37942
19.4615	16.0086	4.75147	2.04769	0.60021	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.00993086
19.3587	16.2181	4.74789	2.06463	0.572748	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.82119
19.248	16.3974	4.71194	2.09477	0.57564	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.858637
19.1283	16.5959	4.70704	2.12474	0.578684	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.299451
19.0003	16.8022	4.71735	2.15306	0.577679	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0727402
18.8434	16.9942	4.72992	2.21034	0.63514	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.52774
18.6755	17.2213	4.79001	2.24372	0.634555	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.67829
18.5712	17.4266	4.77546	2.23122	0.552625	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.09705
18.3614	17.6127	4.81626	2.27787	0.57026	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.84311
18.225	17.804	4.80828	2.28238	0.523877	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.47663
18.0918	17.9905	4.7965	2.29947	0.515176	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.904414
17.9158	18.1467	4.78678	2.34152	0.543885	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.9245
17.7803	18.2932	4.73696	2.3637	0.540527	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.16162
17.6454	18.4759	4.72578	2.3711	0.513102	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.73357
17.4543	18.653	4.75679	2.39894	0.514309	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.425898
17.2727	18.7956	4.74594	2.43319	0.528844	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.74771
17.1092	18.9337	4.71636	2.45788	0.527979	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.383572
16.942	19.1039	4.7219	2.46983	0.507012	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.06421
